date,slot,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX3_prediction,EPRX1_actual,EPRX3_actual,imbalance
2023/4/2,48,8.51,9.19,0,0,0,0,9.19
2023/4/3,1,11.85,10.8,0,0,0,0,10.8
2023/4/3,2,8.8,10.17,0,0,0,0,10.17
2023/4/3,3,8.76,10.17,0,0,0,0,10.17
2023/4/3,4,10.77,10.47,0,0,0,0,10.47
2023/4/3,5,10.39,10,0,0,0,0,10
2023/4/3,6,9.56,10.17,0,0,0,0,10.17
2023/4/3,7,7.89,10,0,0,0,0,10
2023/4/3,8,9.02,10.13,0,0,0,0,10.13
2023/4/3,9,10.52,10.63,0,0,0,0,10.63
2023/4/3,10,10.5,10.67,0,0,0,0,10.67
2023/4/3,11,10.66,10.97,0,0,0,0,10.97
2023/4/3,12,10.39,11.05,0,0,0,0,11.05
2023/4/3,13,10.91,10.93,0,0,0,0,10.93
2023/4/3,14,8.79,10.15,0,0,0,0,10.15
2023/4/3,15,8.1,6,0,0,0,0,6
2023/4/3,16,4.3,0.01,0,0,0,0,0.01
2023/4/3,17,5.95,1,0,0,0,0,1
2023/4/3,18,3.43,0.01,0,0,0,0,0.01
2023/4/3,19,3.06,0.01,0,0,0,0,0.01
2023/4/3,20,3.23,0.01,0,0,0,0,0.01
2023/4/3,21,3.07,0.01,0,0,0,0,0.01
2023/4/3,22,3.11,0.01,0,0,0,0,0.01
2023/4/3,23,2.38,0.01,0,0,0,0,0.01
2023/4/3,24,2.01,0.01,0,0,0,0,0.01
2023/4/3,25,1.8,0.01,0,0,0,0,0.01
2023/4/3,26,1.45,0.01,0,0,0,0,0.01
2023/4/3,27,1.49,0.01,0,0,0,0,0.01
2023/4/3,28,1.1,0.01,0,0,0,0,0.01
2023/4/3,29,0.98,0.01,0,0,0,0,0.01
2023/4/3,30,1.86,0.01,0,0,0,0,0.01
2023/4/3,31,1.13,0.01,0,0,0,0,0.01
2023/4/3,32,1.92,0.01,0,0,0,0,0.01
2023/4/3,33,6.59,1.62,0,0,0,0,1.62
2023/4/3,34,7.77,8.82,0,0,0,0,8.82
2023/4/3,35,10.13,9.65,0,0,0,0,9.65
2023/4/3,36,12.83,11.09,0,0,0,0,11.09
2023/4/3,37,13.16,11.02,0,0,0,0,11.02
2023/4/3,38,13.35,14,0,0,0,0,14
2023/4/3,39,12.9,13.11,0,0,0,0,13.11
2023/4/3,40,13.19,13.48,0,0,0,0,13.48
2023/4/3,41,13.38,13.28,0,0,0,0,13.28
2023/4/3,42,12.76,13.09,0,0,0,0,13.09
2023/4/3,43,12.52,13.14,0,0,0,0,13.14
2023/4/3,44,10.88,10.83,0,0,0,0,10.83
2023/4/3,45,10.86,10.64,0,0,0,0,10.64
2023/4/3,46,9.8,10.83,0,0,0,0,10.83
2023/4/3,47,9.09,10.81,0,0,0,0,10.81
2023/4/3,48,9.1,10.48,0,0,0,0,10.48
2023/4/4,1,9.56,10.48,0,0,0,0,10.48
2023/4/4,2,8.83,10.17,0,0,0,0,10.17
2023/4/4,3,9.34,8.5,0,0,0,0,8.5
2023/4/4,4,7.6,8.5,0,0,0,0,8.5
2023/4/4,5,8.94,10.17,0,0,0,0,10.17
2023/4/4,6,9.44,10.48,0,0,0,0,10.48
2023/4/4,7,10.58,10.84,0,0,0,0,10.84
2023/4/4,8,9.74,11.1,0,0,0,0,11.1
2023/4/4,9,9.76,11.74,0,0,0,0,11.74
2023/4/4,10,12.85,14.22,0,0,0,0,14.22
2023/4/4,11,12.99,14,0,0,0,0,14
2023/4/4,12,11.45,13.02,0,0,0,0,13.02
2023/4/4,13,11.2,12.39,0,0,0,0,12.39
2023/4/4,14,8.84,10.13,0,0,0,0,10.13
2023/4/4,15,7.18,8.98,0,0,0,0,8.98
2023/4/4,16,8.91,5.39,0,0,0,0,5.39
2023/4/4,17,6.08,1.23,0,0,0,0,1.23
2023/4/4,18,5.11,0.5,0,0,0,0,0.5
2023/4/4,19,4.51,0.2,0,0,0,0,0.2
2023/4/4,20,2.13,0.01,0,0,0,0,0.01
2023/4/4,21,2.09,0.01,0,0,0,0,0.01
2023/4/4,22,1.65,0.01,0,0,0,0,0.01
2023/4/4,23,1.19,0.01,0,0,0,0,0.01
2023/4/4,24,1.1,0.01,0,0,0,0,0.01
2023/4/4,25,1.15,0.01,0,0,0,0,0.01
2023/4/4,26,1.32,0.01,0,0,0,0,0.01
2023/4/4,27,1.02,0.01,0,0,0,0,0.01
2023/4/4,28,1,0.01,0,0,0,0,0.01
2023/4/4,29,1.22,0.01,0,0,0,0,0.01
2023/4/4,30,4.98,2,0,0,0,0,2
2023/4/4,31,3.46,3,0,0,0,0,3
2023/4/4,32,8.86,9.41,0,0,0,0,9.41
2023/4/4,33,7.98,8.82,0,0,0,0,8.82
2023/4/4,34,7.23,8.96,0,0,0,0,8.96
2023/4/4,35,9.76,9.62,0,0,0,0,9.62
2023/4/4,36,11.32,10.82,0,0,0,0,10.82
2023/4/4,37,12.88,11.09,0,0,0,0,11.09
2023/4/4,38,12.89,12.76,0,0,0,0,12.76
2023/4/4,39,13.09,11.09,0,0,0,0,11.09
2023/4/4,40,11.64,10.84,0,0,0,0,10.84
2023/4/4,41,11.6,10.84,0,0,0,0,10.84
2023/4/4,42,11.55,10.82,0,0,0,0,10.82
2023/4/4,43,11.02,10.48,0,0,0,0,10.48
2023/4/4,44,11.15,10.82,0,0,0,0,10.82
2023/4/4,45,10.46,10.13,0,0,0,0,10.13
2023/4/4,46,9.95,10,0,0,0,0,10
2023/4/4,47,9.37,9.62,0,0,0,0,9.62
2023/4/4,48,9.03,9.22,0,0,0,0,9.22
2023/4/5,1,8.49,10.13,0,0,0,0,10.13
2023/4/5,2,8.22,9.62,0,0,0,0,9.62
2023/4/5,3,8.38,9.4,0,0,0,0,9.4
2023/4/5,4,7.99,9.62,0,0,0,0,9.62
2023/4/5,5,6.93,7,0,0,0,0,7
2023/4/5,6,7.65,7,0,0,0,0,7
2023/4/5,7,7.89,7,0,0,0,0,7
2023/4/5,8,8.22,6,0,0,0,0,6
2023/4/5,9,8.25,6,0,0,0,0,6
2023/4/5,10,8.68,6,0,0,0,0,6
2023/4/5,11,9.52,6,0,0,0,0,6
2023/4/5,12,9.3,6,0,0,0,0,6
2023/4/5,13,10.05,10.17,0,0,0,0,10.17
2023/4/5,14,11.11,10.43,0,0,0,0,10.43
2023/4/5,15,11.24,10.48,0,0,0,0,10.48
2023/4/5,16,11.57,10.5,0,0,0,0,10.5
2023/4/5,17,13.03,14.03,0,0,0,0,14.03
2023/4/5,18,9.89,14.06,0,0,0,0,14.06
2023/4/5,19,10.42,14.21,0,0,0,0,14.21
